query	Q0	passage_id	rank	score	tag
crazy rails train wounds mental	Q0	10294	1	19.5	SheaD
crazy rails train wounds mental	Q0	11571	2	19.2	SheaD
crazy rails train wounds mental	Q0	11488	3	19.2	SheaD
crazy rails train wounds mental	Q0	9216	4	19.2	SheaD
crazy rails train wounds mental	Q0	10750	5	18.8	SheaD
crazy rails train wounds mental	Q0	10569	6	18.4	SheaD
crazy rails train wounds mental	Q0	9437	7	18.2	SheaD
crazy rails train wounds mental	Q0	10367	8	18.0	SheaD
crazy rails train wounds mental	Q0	9918	9	18.0	SheaD
crazy rails train wounds mental	Q0	11761	10	17.9	SheaD
swaying symphony pied piper led	Q0	6477	1	25.5	SheaD
swaying symphony pied piper led	Q0	5363	2	17.6	SheaD
swaying symphony pied piper led	Q0	8440	3	15.4	SheaD
swaying symphony pied piper led	Q0	4593	4	15.4	SheaD
swaying symphony pied piper led	Q0	6402	5	15.0	SheaD
swaying symphony pied piper led	Q0	5245	6	15.0	SheaD
swaying symphony pied piper led	Q0	325	7	14.8	SheaD
swaying symphony pied piper led	Q0	1770	8	14.8	SheaD
swaying symphony pied piper led	Q0	12746	9	14.7	SheaD
swaying symphony pied piper led	Q0	1572	10	14.7	SheaD
startin burn doses starting attraction	Q0	6863	1	17.5	SheaD
startin burn doses starting attraction	Q0	5932	2	17.2	SheaD
startin burn doses starting attraction	Q0	5259	3	17.0	SheaD
startin burn doses starting attraction	Q0	1233	4	16.6	SheaD
startin burn doses starting attraction	Q0	6609	5	16.5	SheaD
startin burn doses starting attraction	Q0	5468	6	16.3	SheaD
startin burn doses starting attraction	Q0	6666	7	16.3	SheaD
startin burn doses starting attraction	Q0	325	8	16.3	SheaD
startin burn doses starting attraction	Q0	4964	9	16.2	SheaD
startin burn doses starting attraction	Q0	6590	10	16.2	SheaD
fighting lose inside grace watch	Q0	13274	1	17.6	SheaD
fighting lose inside grace watch	Q0	5387	2	17.2	SheaD
fighting lose inside grace watch	Q0	9199	3	17.2	SheaD
fighting lose inside grace watch	Q0	10930	4	17.2	SheaD
fighting lose inside grace watch	Q0	7301	5	16.9	SheaD
fighting lose inside grace watch	Q0	9893	6	16.8	SheaD
fighting lose inside grace watch	Q0	5277	7	16.5	SheaD
fighting lose inside grace watch	Q0	10880	8	16.4	SheaD
fighting lose inside grace watch	Q0	6311	9	16.4	SheaD
fighting lose inside grace watch	Q0	9768	10	16.3	SheaD
ace spades man lose eyes	Q0	12416	1	26.3	SheaD
ace spades man lose eyes	Q0	1225	2	21.5	SheaD
ace spades man lose eyes	Q0	937	3	19.4	SheaD
ace spades man lose eyes	Q0	4501	4	19.2	SheaD
ace spades man lose eyes	Q0	294	5	18.9	SheaD
ace spades man lose eyes	Q0	11303	6	18.9	SheaD
ace spades man lose eyes	Q0	195	7	18.8	SheaD
ace spades man lose eyes	Q0	2487	8	18.6	SheaD
ace spades man lose eyes	Q0	10676	9	18.6	SheaD
ace spades man lose eyes	Q0	13688	10	18.5	SheaD
night baby tellin remember talk	Q0	3527	1	19.8	SheaD
night baby tellin remember talk	Q0	6973	2	19.8	SheaD
night baby tellin remember talk	Q0	10248	3	19.5	SheaD
night baby tellin remember talk	Q0	3272	4	19.2	SheaD
night baby tellin remember talk	Q0	1317	5	19.0	SheaD
night baby tellin remember talk	Q0	12163	6	19.0	SheaD
night baby tellin remember talk	Q0	13012	7	19.0	SheaD
night baby tellin remember talk	Q0	3930	8	18.9	SheaD
night baby tellin remember talk	Q0	8862	9	18.8	SheaD
night baby tellin remember talk	Q0	7379	10	18.8	SheaD
baby day sun end thing	Q0	4286	1	15.7	SheaD
baby day sun end thing	Q0	11019	2	14.9	SheaD
baby day sun end thing	Q0	3286	3	14.4	SheaD
baby day sun end thing	Q0	11967	4	14.3	SheaD
baby day sun end thing	Q0	10112	5	14.2	SheaD
baby day sun end thing	Q0	9461	6	14.2	SheaD
baby day sun end thing	Q0	842	7	14.1	SheaD
baby day sun end thing	Q0	12975	8	14.0	SheaD
baby day sun end thing	Q0	9724	9	13.7	SheaD
baby day sun end thing	Q0	4360	10	13.7	SheaD
remember time mind grown ease	Q0	3590	1	15.6	SheaD
remember time mind grown ease	Q0	9576	2	15.5	SheaD
remember time mind grown ease	Q0	2795	3	15.3	SheaD
remember time mind grown ease	Q0	622	4	15.1	SheaD
remember time mind grown ease	Q0	2866	5	15.0	SheaD
remember time mind grown ease	Q0	2586	6	14.9	SheaD
remember time mind grown ease	Q0	9459	7	14.9	SheaD
remember time mind grown ease	Q0	5087	8	14.8	SheaD
remember time mind grown ease	Q0	9354	9	14.8	SheaD
remember time mind grown ease	Q0	11168	10	14.8	SheaD
found time deeper real good	Q0	173	1	14.7	SheaD
found time deeper real good	Q0	3368	2	14.4	SheaD
found time deeper real good	Q0	4801	3	14.3	SheaD
found time deeper real good	Q0	3676	4	14.2	SheaD
found time deeper real good	Q0	6647	5	14.0	SheaD
found time deeper real good	Q0	4649	6	14.0	SheaD
found time deeper real good	Q0	4333	7	14.0	SheaD
found time deeper real good	Q0	4081	8	14.0	SheaD
found time deeper real good	Q0	10973	9	14.0	SheaD
found time deeper real good	Q0	6236	10	14.0	SheaD
white horse girl kind ridin	Q0	8965	1	18.7	SheaD
white horse girl kind ridin	Q0	10132	2	18.0	SheaD
white horse girl kind ridin	Q0	4651	3	17.7	SheaD
white horse girl kind ridin	Q0	8944	4	17.6	SheaD
white horse girl kind ridin	Q0	5144	5	17.4	SheaD
white horse girl kind ridin	Q0	12971	6	17.4	SheaD
white horse girl kind ridin	Q0	6203	7	17.1	SheaD
white horse girl kind ridin	Q0	11001	8	17.1	SheaD
white horse girl kind ridin	Q0	631	9	17.0	SheaD
white horse girl kind ridin	Q0	5142	10	17.0	SheaD
stay things god beautiful lose	Q0	3706	1	16.7	SheaD
stay things god beautiful lose	Q0	7789	2	16.7	SheaD
stay things god beautiful lose	Q0	4197	3	16.7	SheaD
stay things god beautiful lose	Q0	9108	4	15.8	SheaD
stay things god beautiful lose	Q0	2097	5	15.8	SheaD
stay things god beautiful lose	Q0	7533	6	15.7	SheaD
stay things god beautiful lose	Q0	261	7	15.6	SheaD
stay things god beautiful lose	Q0	13389	8	15.5	SheaD
stay things god beautiful lose	Q0	8093	9	15.3	SheaD
stay things god beautiful lose	Q0	2654	10	15.3	SheaD
daylight love hate time runnin	Q0	5664	1	19.8	SheaD
daylight love hate time runnin	Q0	5124	2	19.3	SheaD
daylight love hate time runnin	Q0	7964	3	19.0	SheaD
daylight love hate time runnin	Q0	4893	4	18.8	SheaD
daylight love hate time runnin	Q0	40	5	18.7	SheaD
daylight love hate time runnin	Q0	13631	6	18.7	SheaD
daylight love hate time runnin	Q0	1978	7	18.6	SheaD
daylight love hate time runnin	Q0	6433	8	18.6	SheaD
daylight love hate time runnin	Q0	3818	9	18.6	SheaD
daylight love hate time runnin	Q0	2594	10	18.5	SheaD
made sold lie bloodsucker famefucker	Q0	5589	1	15.3	SheaD
made sold lie bloodsucker famefucker	Q0	5094	2	15.2	SheaD
made sold lie bloodsucker famefucker	Q0	3908	3	15.1	SheaD
made sold lie bloodsucker famefucker	Q0	11910	4	15.0	SheaD
made sold lie bloodsucker famefucker	Q0	8348	5	15.0	SheaD
made sold lie bloodsucker famefucker	Q0	10607	6	15.0	SheaD
made sold lie bloodsucker famefucker	Q0	3896	7	14.9	SheaD
made sold lie bloodsucker famefucker	Q0	5889	8	14.9	SheaD
made sold lie bloodsucker famefucker	Q0	10212	9	14.9	SheaD
made sold lie bloodsucker famefucker	Q0	3520	10	14.7	SheaD
crazy young oh-whoa fine time	Q0	3216	1	17.6	SheaD
crazy young oh-whoa fine time	Q0	3645	2	17.3	SheaD
crazy young oh-whoa fine time	Q0	8306	3	17.2	SheaD
crazy young oh-whoa fine time	Q0	6451	4	17.0	SheaD
crazy young oh-whoa fine time	Q0	9229	5	16.9	SheaD
crazy young oh-whoa fine time	Q0	381	6	16.8	SheaD
crazy young oh-whoa fine time	Q0	4560	7	16.6	SheaD
crazy young oh-whoa fine time	Q0	963	8	16.4	SheaD
crazy young oh-whoa fine time	Q0	12451	9	16.3	SheaD
crazy young oh-whoa fine time	Q0	3825	10	16.3	SheaD
yeah baby end ooh put	Q0	9315	1	18.3	SheaD
yeah baby end ooh put	Q0	13631	2	18.1	SheaD
yeah baby end ooh put	Q0	2416	3	17.6	SheaD
yeah baby end ooh put	Q0	7728	4	17.5	SheaD
yeah baby end ooh put	Q0	13427	5	17.5	SheaD
yeah baby end ooh put	Q0	3586	6	17.3	SheaD
yeah baby end ooh put	Q0	8680	7	17.2	SheaD
yeah baby end ooh put	Q0	3037	8	17.0	SheaD
yeah baby end ooh put	Q0	12525	9	17.0	SheaD
yeah baby end ooh put	Q0	4010	10	17.0	SheaD
song bring jeru bout quarter	Q0	9569	1	15.7	SheaD
song bring jeru bout quarter	Q0	10552	2	15.5	SheaD
song bring jeru bout quarter	Q0	837	3	15.4	SheaD
song bring jeru bout quarter	Q0	6497	4	15.4	SheaD
song bring jeru bout quarter	Q0	1805	5	15.3	SheaD
song bring jeru bout quarter	Q0	302	6	15.1	SheaD
song bring jeru bout quarter	Q0	11450	7	15.1	SheaD
song bring jeru bout quarter	Q0	669	8	15.0	SheaD
song bring jeru bout quarter	Q0	147	9	15.0	SheaD
song bring jeru bout quarter	Q0	10405	10	15.0	SheaD
free live side work house	Q0	2381	1	18.2	SheaD
free live side work house	Q0	682	2	17.8	SheaD
free live side work house	Q0	6552	3	17.6	SheaD
free live side work house	Q0	3851	4	17.3	SheaD
free live side work house	Q0	6977	5	17.3	SheaD
free live side work house	Q0	7187	6	17.1	SheaD
free live side work house	Q0	6570	7	17.0	SheaD
free live side work house	Q0	6004	8	17.0	SheaD
free live side work house	Q0	4310	9	17.0	SheaD
free live side work house	Q0	9893	10	16.9	SheaD
roll good times night long	Q0	2498	1	18.3	SheaD
roll good times night long	Q0	13529	2	18.2	SheaD
roll good times night long	Q0	12158	3	17.7	SheaD
roll good times night long	Q0	7191	4	17.6	SheaD
roll good times night long	Q0	6323	5	17.6	SheaD
roll good times night long	Q0	5163	6	17.5	SheaD
roll good times night long	Q0	1790	7	17.4	SheaD
roll good times night long	Q0	5410	8	17.4	SheaD
roll good times night long	Q0	5944	9	17.3	SheaD
roll good times night long	Q0	5151	10	17.3	SheaD
blues long time wanna paid	Q0	1688	1	29.3	SheaD
blues long time wanna paid	Q0	2743	2	21.9	SheaD
blues long time wanna paid	Q0	2	3	21.4	SheaD
blues long time wanna paid	Q0	2363	4	21.0	SheaD
blues long time wanna paid	Q0	4096	5	20.8	SheaD
blues long time wanna paid	Q0	1144	6	20.7	SheaD
blues long time wanna paid	Q0	1011	7	20.6	SheaD
blues long time wanna paid	Q0	518	8	20.3	SheaD
blues long time wanna paid	Q0	1686	9	20.3	SheaD
blues long time wanna paid	Q0	1658	10	20.2	SheaD
baby street tears crying roll	Q0	5438	1	22.8	SheaD
baby street tears crying roll	Q0	7336	2	21.6	SheaD
baby street tears crying roll	Q0	592	3	21.5	SheaD
baby street tears crying roll	Q0	1743	4	21.4	SheaD
baby street tears crying roll	Q0	13482	5	21.4	SheaD
baby street tears crying roll	Q0	1794	6	21.2	SheaD
baby street tears crying roll	Q0	1819	7	21.1	SheaD
baby street tears crying roll	Q0	5125	8	21.0	SheaD
baby street tears crying roll	Q0	5038	9	21.0	SheaD
baby street tears crying roll	Q0	1469	10	20.8	SheaD
boogie rock beat bang stop	Q0	10163	1	21.6	SheaD
boogie rock beat bang stop	Q0	9409	2	21.5	SheaD
boogie rock beat bang stop	Q0	11107	3	21.0	SheaD
boogie rock beat bang stop	Q0	12636	4	21.0	SheaD
boogie rock beat bang stop	Q0	11436	5	21.0	SheaD
boogie rock beat bang stop	Q0	11218	6	20.7	SheaD
boogie rock beat bang stop	Q0	9946	7	20.2	SheaD
boogie rock beat bang stop	Q0	879	8	20.1	SheaD
boogie rock beat bang stop	Q0	12812	9	20.1	SheaD
boogie rock beat bang stop	Q0	10078	10	19.9	SheaD
fight power powers make rhythm	Q0	8093	1	15.0	SheaD
fight power powers make rhythm	Q0	8192	2	14.3	SheaD
fight power powers make rhythm	Q0	7948	3	14.2	SheaD
fight power powers make rhythm	Q0	4473	4	14.2	SheaD
fight power powers make rhythm	Q0	7101	5	14.2	SheaD
fight power powers make rhythm	Q0	5036	6	13.8	SheaD
fight power powers make rhythm	Q0	8244	7	13.7	SheaD
fight power powers make rhythm	Q0	13520	8	13.6	SheaD
fight power powers make rhythm	Q0	5476	9	13.3	SheaD
fight power powers make rhythm	Q0	5815	10	13.2	SheaD
inside dna yeah loyalty royalty	Q0	6179	1	15.9	SheaD
inside dna yeah loyalty royalty	Q0	4556	2	15.6	SheaD
inside dna yeah loyalty royalty	Q0	5748	3	15.5	SheaD
inside dna yeah loyalty royalty	Q0	11413	4	15.2	SheaD
inside dna yeah loyalty royalty	Q0	4612	5	15.0	SheaD
inside dna yeah loyalty royalty	Q0	6500	6	14.9	SheaD
inside dna yeah loyalty royalty	Q0	3357	7	14.7	SheaD
inside dna yeah loyalty royalty	Q0	6664	8	14.7	SheaD
inside dna yeah loyalty royalty	Q0	5861	9	14.6	SheaD
inside dna yeah loyalty royalty	Q0	366	10	14.6	SheaD
minutes back rap boy lookin	Q0	4351	1	17.8	SheaD
minutes back rap boy lookin	Q0	8489	2	17.6	SheaD
minutes back rap boy lookin	Q0	11680	3	17.6	SheaD
minutes back rap boy lookin	Q0	1798	4	17.6	SheaD
minutes back rap boy lookin	Q0	4169	5	17.5	SheaD
minutes back rap boy lookin	Q0	5985	6	17.4	SheaD
minutes back rap boy lookin	Q0	12786	7	17.4	SheaD
minutes back rap boy lookin	Q0	2950	8	17.3	SheaD
minutes back rap boy lookin	Q0	3796	9	17.3	SheaD
minutes back rap boy lookin	Q0	2753	10	17.3	SheaD
baby strip tip girl yeah	Q0	8525	1	21.2	SheaD
baby strip tip girl yeah	Q0	450	2	20.3	SheaD
baby strip tip girl yeah	Q0	1451	3	20.2	SheaD
baby strip tip girl yeah	Q0	12042	4	20.0	SheaD
baby strip tip girl yeah	Q0	8664	5	19.8	SheaD
baby strip tip girl yeah	Q0	10924	6	19.8	SheaD
baby strip tip girl yeah	Q0	1896	7	19.8	SheaD
baby strip tip girl yeah	Q0	511	8	19.8	SheaD
baby strip tip girl yeah	Q0	9096	9	19.6	SheaD
baby strip tip girl yeah	Q0	9144	10	19.5	SheaD
smoke water place fire sky	Q0	4427	1	23.6	SheaD
smoke water place fire sky	Q0	12658	2	14.1	SheaD
smoke water place fire sky	Q0	378	3	14.0	SheaD
smoke water place fire sky	Q0	11849	4	14.0	SheaD
smoke water place fire sky	Q0	8619	5	13.3	SheaD
smoke water place fire sky	Q0	10462	6	13.1	SheaD
smoke water place fire sky	Q0	2346	7	13.0	SheaD
smoke water place fire sky	Q0	4094	8	12.8	SheaD
smoke water place fire sky	Q0	10981	9	12.8	SheaD
smoke water place fire sky	Q0	12232	10	12.8	SheaD
pays mistake dark matter strange	Q0	5788	1	19.0	SheaD
pays mistake dark matter strange	Q0	5753	2	18.6	SheaD
pays mistake dark matter strange	Q0	5907	3	18.3	SheaD
pays mistake dark matter strange	Q0	5369	4	18.1	SheaD
pays mistake dark matter strange	Q0	5275	5	18.0	SheaD
pays mistake dark matter strange	Q0	7048	6	17.9	SheaD
pays mistake dark matter strange	Q0	4856	7	17.9	SheaD
pays mistake dark matter strange	Q0	5191	8	17.9	SheaD
pays mistake dark matter strange	Q0	6068	9	17.9	SheaD
pays mistake dark matter strange	Q0	8815	10	17.8	SheaD
daddy girl runaway learned fast	Q0	3176	1	15.8	SheaD
daddy girl runaway learned fast	Q0	13635	2	15.1	SheaD
daddy girl runaway learned fast	Q0	7034	3	15.0	SheaD
daddy girl runaway learned fast	Q0	2846	4	14.9	SheaD
daddy girl runaway learned fast	Q0	3932	5	14.9	SheaD
daddy girl runaway learned fast	Q0	890	6	14.4	SheaD
daddy girl runaway learned fast	Q0	2426	7	14.4	SheaD
daddy girl runaway learned fast	Q0	2039	8	14.2	SheaD
daddy girl runaway learned fast	Q0	11527	9	14.1	SheaD
daddy girl runaway learned fast	Q0	6975	10	14.1	SheaD
breath lie hold silence normal	Q0	6239	1	14.7	SheaD
breath lie hold silence normal	Q0	6223	2	14.7	SheaD
breath lie hold silence normal	Q0	12929	3	14.6	SheaD
breath lie hold silence normal	Q0	10731	4	14.5	SheaD
breath lie hold silence normal	Q0	12980	5	14.4	SheaD
breath lie hold silence normal	Q0	10453	6	14.4	SheaD
breath lie hold silence normal	Q0	5681	7	14.3	SheaD
breath lie hold silence normal	Q0	10695	8	14.3	SheaD
breath lie hold silence normal	Q0	6642	9	14.2	SheaD
breath lie hold silence normal	Q0	5757	10	14.2	SheaD
yeah gonna face love heart	Q0	2722	1	20.8	SheaD
yeah gonna face love heart	Q0	4366	2	20.7	SheaD
yeah gonna face love heart	Q0	13301	3	20.3	SheaD
yeah gonna face love heart	Q0	11917	4	20.2	SheaD
yeah gonna face love heart	Q0	9824	5	20.2	SheaD
yeah gonna face love heart	Q0	3326	6	19.9	SheaD
yeah gonna face love heart	Q0	3485	7	19.9	SheaD
yeah gonna face love heart	Q0	4408	8	19.6	SheaD
yeah gonna face love heart	Q0	4127	9	19.5	SheaD
yeah gonna face love heart	Q0	2637	10	19.5	SheaD
